# Unicode control characters
CHARACTER TABULATION; 0009
LATIN SMALL LETTER O WITH OGONEK AND CURL [MUFI] ; E64F 
LATIN SMALL LETTER E WITH OGONEK AND CIRCUMFLEX [MUFI] ; E49F 
LATIN SMALL LETTER O WITH OGONEK AND CIRCUMFLEX [MUFI] ; E60E 
LATIN CAPITAL LETTER AE WITH MACRON AND BREVE [MUFI] ; E03D 
LATIN SMALL LETTER AE WITH MACRON AND BREVE [MUFI] ; E43D 
LATIN CAPITAL LETTER E WITH MACRON AND BREVE [MUFI] ; E0B7 
LATIN SMALL LETTER E WITH MACRON AND BREVE [MUFI] ; E4B7 
LATIN CAPITAL LETTER I WITH MACRON AND BREVE [MUFI] ; E137 
LATIN SMALL LETTER I WITH MACRON AND BREVE [MUFI] ; E537 
LATIN CAPITAL LETTER O WITH MACRON AND BREVE [MUFI] ; E21B 
LATIN SMALL LETTER O WITH MACRON AND BREVE [MUFI] ; E61B 
LATIN CAPITAL LIGATURE OE WITH MACRON AND BREVE [MUFI] ; E260 
LATIN SMALL LIGATURE OE WITH MACRON AND BREVE [MUFI] ; E660 
LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND BREVE [MUFI] ; E253 
LATIN SMALL LETTER O WITH STROKE AND MACRON AND BREVE [MUFI] ; E653 
LATIN CAPITAL LETTER U WITH MACRON AND BREVE [MUFI] ; E30B 
LATIN SMALL LETTER U WITH MACRON AND BREVE [MUFI] ; E70B 
LATIN CAPITAL LETTER Y WITH MACRON AND BREVE [MUFI] ; E375 
LATIN SMALL LETTER Y WITH MACRON AND BREVE [MUFI] ; E775 
LATIN CAPITAL LETTER A WITH MACRON AND ACUTE [MUFI] ; E00A 
LATIN SMALL LETTER A WITH MACRON AND ACUTE [MUFI] ; E40A 
LATIN CAPITAL LETTER AE WITH MACRON AND ACUTE [MUFI] ; E03A 
LATIN SMALL LETTER AE WITH MACRON AND ACUTE [MUFI] ; E43A 
LATIN CAPITAL LETTER I WITH MACRON AND ACUTE [MUFI] ; E135 
LATIN SMALL LETTER I WITH MACRON AND ACUTE [MUFI] ; E535 
LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND ACUTE [MUFI] ; EBEC 
LATIN SMALL LETTER O WITH STROKE AND MACRON AND ACUTE [MUFI] ; EBED 
LATIN CAPITAL LETTER U WITH MACRON AND ACUTE [MUFI] ; E309 
LATIN SMALL LETTER U WITH MACRON AND ACUTE [MUFI] ; E709 
LATIN CAPITAL LETTER Y WITH MACRON AND ACUTE [MUFI] ; E373 
LATIN SMALL LETTER Y WITH MACRON AND ACUTE [MUFI] ; E773 
LATIN CAPITAL LETTER E WITH OGONEK AND DOT ABOVE AND ACUTE [MUFI] ; E0EC 
LATIN SMALL LETTER E WITH OGONEK AND DOT ABOVE AND ACUTE [MUFI] ; E4EC 
LATIN CAPITAL LETTER O WITH OGONEK AND DOT ABOVE AND ACUTE [MUFI] ; EBFA 
LATIN SMALL LETTER O WITH OGONEK AND DOT ABOVE AND ACUTE [MUFI] ; EBFB 
# sequences
LATIN CAPITAL LETTER A WITH MACRON AND ACUTE [MUFI] ;0041 0304 0301
LATIN CAPITAL LETTER A WITH DOT ABOVE AND ACUTE [MUFI] ;0041 0307 0301
LATIN CAPITAL LETTER A WITH DOUBLE ACUTE [MUFI] ;0041 030B
LATIN CAPITAL LETTER A WITH OGONEK AND ACUTE [MUFI] ;0041 0328 0301
LATIN CAPITAL LETTER A WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0041 0364
LATIN CAPITAL LETTER A WITH CURL [MUFI] ;0041 1DCE
LATIN CAPITAL LETTER B WITH ACUTE [MUFI] ;0042 0301
LATIN CAPITAL LETTER C WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;0043 0305
LATIN CAPITAL LETTER C WITH DOT BELOW [MUFI] ;0043 0323
LATIN CAPITAL LETTER C WITH OGONEK [MUFI] ;0043 0328
LATIN CAPITAL LETTER D WITH ACUTE [MUFI] ;0044 0301
LATIN CAPITAL LETTER D WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;0044 0305
LATIN CAPITAL LETTER E WITH MACRON AND BREVE [MUFI] ;0045 0304 0306
LATIN CAPITAL LETTER E WITH DOT ABOVE AND ACUTE [MUFI] ;0045 0307 0301
LATIN CAPITAL LETTER E WITH DOUBLE ACUTE [MUFI] ;0045 030B
LATIN CAPITAL LETTER E WITH OGONEK AND ACUTE [MUFI] ;0045 0328 0301
LATIN CAPITAL LETTER E WITH OGONEK AND DOT ABOVE [MUFI] ;0045 0328 0307
LATIN CAPITAL LETTER E WITH OGONEK AND DOT ABOVE AND ACUTE [MUFI] ;0045 0328 0307 0301
LATIN CAPITAL LETTER E WITH OGONEK AND DOUBLE ACUTE [MUFI] ;0045 0328 030B
LATIN CAPITAL LETTER E WITH OGONEK AND DOT BELOW [MUFI] ;0045 0328 0323
LATIN CAPITAL LETTER E WITH LATIN SMALL LETTER A ABOVE [MUFI] ;0045 0363
LATIN CAPITAL LETTER E WITH CURL [MUFI] ;0045 1DCE
LATIN CAPITAL LETTER F WITH ACUTE [MUFI] ;0046 0301
LATIN CAPITAL LETTER F WITH DOT BELOW [MUFI] ;0046 0323
LATIN CAPITAL LETTER G WITH DOT BELOW [MUFI] ;0047 0323
LATIN CAPITAL LETTER H WITH ACUTE [MUFI] ;0048 0301
LATIN CAPITAL LETTER I WITH MACRON AND ACUTE [MUFI] ;0049 0304 0301
LATIN CAPITAL LETTER I WITH MACRON AND BREVE [MUFI] ;0049 0304 0306
LATIN CAPITAL LETTER I WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;0049 0305
LATIN CAPITAL LETTER I WITH DOT ABOVE AND ACUTE [MUFI] ;0049 0307 0301
LATIN CAPITAL LETTER I WITH DOUBLE ACUTE [MUFI] ;0049 030B
LATIN CAPITAL LETTER I WITH CURL [MUFI] ;0049 1DCE
LATIN CAPITAL LETTER J WITH CURL [MUFI] ;0049 1DCE
LATIN CAPITAL LETTER J WITH ACUTE [MUFI] ;004A 0301
LATIN CAPITAL LETTER J WITH HIGH MACRON (ABOVE CHARACTER)[MUFI] ;004A 0304
LATIN CAPITAL LETTER J WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;004A 0305
LATIN CAPITAL LETTER J WITH DOT ABOVE [MUFI] ;004A 0307
LATIN CAPITAL LETTER J WITH DIAERESIS [MUFI] ;004A 0308
LATIN CAPITAL LETTER J WITH DOUBLE ACUTE [MUFI] ;004A 030B
LATIN CAPITAL LETTER J WITH DOT BELOW [MUFI] ;004A 0323
LATIN CAPITAL LETTER K WITH DOT ABOVE [MUFI] ;004B 0307
LATIN CAPITAL LETTER L WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;004C 0305
LATIN CAPITAL LETTER L WITH DOT ABOVE [MUFI] ;004C 0307
LATIN CAPITAL LETTER M WITH HIGH MACRON (ABOVE CHARACTER)[MUFI] ;004D 0304
LATIN CAPITAL LETTER M WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;004D 0305
LATIN CAPITAL LETTER N WITH HIGH MACRON (ABOVE CHARACTER)[MUFI] ;004E 0304
LATIN CAPITAL LETTER O WITH MACRON AND BREVE [MUFI] ;004F 0304 0306
LATIN CAPITAL LETTER O WITH DOT ABOVE AND ACUTE [MUFI] ;004F 0307 0301
LATIN CAPITAL LETTER O WITH DIAERESIS AND CIRCUMFLEX [MUFI] ;004F 0308 0302
LATIN CAPITAL LETTER O WITH OGONEK AND ACUTE [MUFI] ;004F 0328 0301
LATIN CAPITAL LETTER O WITH OGONEK AND DOT ABOVE [MUFI] ;004F 0328 0307
LATIN CAPITAL LETTER O WITH OGONEK AND DOT ABOVE AND ACUTE [MUFI] ;004F 0328 0307 0301
LATIN CAPITAL LETTER O WITH OGONEK AND DOUBLE ACUTE [MUFI] ;004F 0328 030B
LATIN CAPITAL LETTER O WITH OGONEK AND DOT BELOW [MUFI] ;004F 0328 0323
LATIN CAPITAL LETTER O WITH OGONEK AND CURL [MUFI] ;004F 0328 1DCE
LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER E ABOVE [MUFI] ;004F 0364
LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER U ABOVE [MUFI] ;004F 0367
LATIN CAPITAL LETTER O WITH CURL [MUFI] ;004F 1DCE
LATIN CAPITAL LETTER P WITH DOUBLE ACUTE [MUFI] ;0050 030B
LATIN CAPITAL LETTER P WITH DOT BELOW [MUFI] ;0050 0323
LATIN CAPITAL LETTER Q WITH DOT ABOVE [MUFI] ;0051 0307
LATIN CAPITAL LETTER Q WITH DOT BELOW[MUFI] ;0051 0323
LATIN CAPITAL LETTER T WITH ACUTE [MUFI] ;0054 0301
LATIN CAPITAL LETTER Y WITH BREVE [MUFI] ;0054 0306
LATIN CAPITAL LETTER T WITH OGONEK [MUFI] ;0054 0328
LATIN CAPITAL LETTER U WITH MACRON AND ACUTE [MUFI] ;0055 0304 0301
LATIN CAPITAL LETTER U WITH MACRON AND BREVE [MUFI] ;0055 0304 0306
LATIN CAPITAL LETTER U WITH DOT ABOVE [MUFI] ;0055 0307
LATIN CAPITAL LETTER U WITH DOT ABOVE AND ACUTE [MUFI] ;0055 0307 0301
LATIN CAPITAL LETTER U WITH DIAERESIS AND CIRCUMFLEX [MUFI] ;0055 0308 0302
LATIN CAPITAL LETTER U WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0055 0364
LATIN CAPITAL LETTER U WITH LATIN SMALL LETTER O ABOVE [MUFI] ;0055 0366
LATIN CAPITAL LETTER U WITH CURL [MUFI] ;0055 1DCE
LATIN CAPITAL LETTER V WITH ACUTE [MUFI] ;0056 0301
LATIN CAPITAL LETTER V WITH CIRCUMFLEX [MUFI] ;0056 0302
LATIN CAPITAL LETTER V WITH MACRON [MUFI] ;0056 0304
LATIN CAPITAL LETTER V WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;0056 0305
LATIN CAPITAL LETTER V WITH DOT ABOVE [MUFI] ;0056 0307
LATIN CAPITAL LETTER V WITH DIAERESIS [MUFI] ;0056 0308
LATIN CAPITAL LETTER V WITH DOUBLE ACUTE [MUFI] ;0056 030B
LATIN CAPITAL LETTER V WITH VERTICAL LINE ABOVE [MUFI] ;0056 030D
LATIN CAPITAL LETTER W WITH MACRON [MUFI] ;0057 0304
LATIN CAPITAL LETTER W WITH DOUBLE ACUTE [MUFI] ;0057 030B
LATIN CAPITAL LETTER W WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0057 0364
LATIN CAPITAL LETTER X WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;0058 0305
LATIN CAPITAL LETTER Y WITH MACRON AND ACUTE [MUFI] ;0059 0304 0301
LATIN CAPITAL LETTER Y WITH MACRON AND BREVE [MUFI] ;0059 0304 0306
LATIN CAPITAL LETTER Y WITH DOUBLE ACUTE [MUFI] ;0059 030B
LATIN CAPITAL LETTER Y WITH CURL [MUFI] ;0059 1DCE
LATIN SMALL LETTER A WITH MACRON AND ACUTE [MUFI] ;0061 0304 0301
LATIN SMALL LETTER A WITH DOT ABOVE AND ACUTE [MUFI] ;0061 0307 0301
LATIN SMALL LETTER A WITH DIAERESIS AND CIRCUMFLEX [MUFI] ;0061 0308 0302
LATIN SMALL LETTER A WITH DOUBLE ACUTE [MUFI] ;0061 030B
LATIN SMALL LETTER A WITH OGONEK AND ACUTE [MUFI] ;0061 0328 0301
LATIN SMALL LETTER A WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0061 0364
LATIN SMALL LETTER A WITH LATIN SMALL LETTER I ABOVE [MUFI] ;0061 0365
LATIN SMALL LETTER A WITH LATIN SMALL LETTER O ABOVE [MUFI] ;0061 0366
LATIN SMALL LETTER A WITH LATIN SMALL LETTER U ABOVE [MUFI] ;0061 0367
LATIN SMALL LETTER A WITH LATIN SMALL LETTER V ABOVE [MUFI] ;0061 036E
LATIN SMALL LETTER A WITH CURL [MUFI] ;0061 1DCE
LATIN SMALL LETTER B WITH ACUTE [MUFI] ;0062 0301
LATIN SMALL LETTER C WITH DOT BELOW [MUFI] ;0063 0323
LATIN SMALL LETTER C WITH OGONEK [MUFI] ;0063 0328
LATIN SMALL LETTER D WITH ACUTE [MUFI] ;0064 0301
LATIN SMALL LETTER EA WITH CIRCUMFLEX [MUFI] ;0065 0061 1DCD
LATIN SMALL LETTER EU WITH CIRCUMFLEX [MUFI] ;0065 0075 1DCD
LATIN SMALL LETTER E WITH MACRON AND BREVE [MUFI] ;0065 0304 0306
LATIN SMALL LETTER E WITH DOT ABOVE AND ACUTE [MUFI] ;0065 0307 0301
LATIN SMALL LETTER E WITH DIAERESIS AND MACRON [MUFI] ;0065 0308 0304
LATIN SMALL LETTER E WITH RING ABOVE [MUFI] ;0065 030A
LATIN SMALL LETTER E WITH DOUBLE ACUTE [MUFI] ;0065 030B
LATIN SMALL LETTER E WITH OGONEK AND ACUTE [MUFI] ;0065 0328 0301
LATIN SMALL LETTER E WITH OGONEK AND CIRCUMFLEX [MUFI] ;0065 0328 0302
LATIN SMALL LETTER E WITH OGONEK AND DOT ABOVE [MUFI] ;0065 0328 0307
LATIN SMALL LETTER E WITH OGONEK AND DOT ABOVE AND ACUTE [MUFI] ;0065 0328 0307 0301
LATIN SMALL LETTER E WITH OGONEK AND DOUBLE ACUTE [MUFI] ;0065 0328 030B
LATIN SMALL LETTER E WITH OGONEK AND DOT BELOW [MUFI] ;0065 0328 0323
LATIN SMALL LETTER E WITH OGONEK AND CURL [MUFI] ;0065 0328 1DCE
LATIN SMALL LETTER E WITH LATIN SMALL LETTER A ABOVE [MUFI] ;0065 0363
LATIN SMALL LETTER E WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0065 0364
LATIN SMALL LETTER E WITH LATIN SMALL LETTER I ABOVE [MUFI] ;0065 0365
LATIN SMALL LETTER E WITH LATIN SMALL LETTER O ABOVE [MUFI] ;0065 0366
LATIN SMALL LETTER E WITH LATIN SMALL LETTER V ABOVE [MUFI] ;0065 036E
LATIN SMALL LETTER E WITH CURL [MUFI] ;0065 1DCE
LATIN SMALL LETTER F WITH ACUTE [MUFI] ;0066 0301
LATIN SMALL LETTER F WITH DOT BELOW [MUFI] ;0066 0323
LATIN SMALL LETTER G WITH DOT BELOW [MUFI] ;0067 0323
LATIN SMALL LETTER H WITH ACUTE [MUFI] ;0068 0301
LATIN SMALL LETTER I WITH MACRON AND ACUTE [MUFI] ;0069 0304 0301
LATIN SMALL LETTER I WITH MACRON AND BREVE [MUFI] ;0069 0304 0306
LATIN SMALL LETTER I WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;0069 0305
LATIN SMALL LETTER I WITH DOT ABOVE AND ACUTE [MUFI] ;0069 0307 0301
LATIN SMALL LETTER I WITH DOUBLE ACUTE [MUFI] ;0069 030B
LATIN SMALL LETTER I WITH INVERTED BREVE BELOW [MUFI] ;0069 032F
LATIN SMALL LETTER I WITH LATIN SMALL LETTER A ABOVE [MUFI] ;0069 0363
LATIN SMALL LETTER I WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0069 0364
LATIN SMALL LETTER I WITH LATIN SMALL LETTER O ABOVE [MUFI] ;0069 0366
LATIN SMALL LETTER I WITH LATIN SMALL LETTER U ABOVE [MUFI] ;0069 0367
LATIN SMALL LETTER I WITH LATIN SMALL LETTER V ABOVE [MUFI] ;0069 036E
LATIN SMALL LETTER I WITH CURL [MUFI] ;0069 1DCE
LATIN SMALL LETTER J WITH ACUTE [MUFI] ;006A 0301
LATIN SMALL LETTER J WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER)[MUFI] ;006A 0304
LATIN SMALL LETTER J WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;006A 0305
LATIN SMALL LETTER J WITH DIAERESIS [MUFI] ;006A 0308
LATIN SMALL LETTER J WITH DOUBLE ACUTE [MUFI] ;006A 030B
LATIN SMALL LETTER J WITH DOT BELOW [MUFI] ;006A 0323
LATIN SMALL LETTER J WITH LATIN SMALL LETTER E ABOVE [MUFI] ;006A 0364
LATIN SMALL LETTER J WITH CURL [MUFI] ;006A 1DCE
LATIN SMALL LETTER K WITH DOT ABOVE [MUFI] ;006B 0307
LATIN SMALL LETTER L WITH HIGH MACRON (ABOVE CHARACTER)[MUFI] ;006C 0304
LATIN SMALL LETTER L WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;006C 0305
LATIN SMALL LETTER L WITH DOT ABOVE [MUFI] ;006C 0307
LATIN SMALL LETTER L WITH RING BELOW [MUFI] ;006C 0325
LATIN SMALL LETTER M WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER)[MUFI] ;006D 0304
LATIN SMALL LETTER M WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;006D 0305
LATIN SMALL LETTER M WITH RING BELOW [MUFI] ;006D 0325
LATIN SMALL LETTER M WITH LATIN SMALL LETTER E ABOVE [MUFI] ;006D 0364
LATIN SMALL LETTER N WITH CIRCUMFLEX [MUFI] ;006E 0302
LATIN SMALL LETTER N WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER)[MUFI] ;006E 0304
LATIN SMALL LETTER N WITH RING BELOW [MUFI] ;006E 0325
LATIN SMALL LETTER O WITH MACRON AND BREVE [MUFI] ;006F 0304 0306
LATIN SMALL LETTER O WITH DOT ABOVE AND ACUTE [MUFI] ;006F 0307 0301
LATIN SMALL LETTER O WITH DIAERESIS AND CIRCUMFLEX [MUFI] ;006F 0308 0302
LATIN SMALL LETTER O WITH RING ABOVE [MUFI] ;006F 030A
LATIN SMALL LETTER O WITH OGONEK AND ACUTE [MUFI] ;006F 0328 0301
LATIN SMALL LETTER O WITH OGONEK AND CIRCUMFLEX [MUFI] ;006F 0328 0302
LATIN SMALL LETTER O WITH OGONEK AND DOT ABOVE [MUFI] ;006F 0328 0307
LATIN SMALL LETTER O WITH OGONEK AND DOT ABOVE AND ACUTE [MUFI] ;006F 0328 0307 0301
LATIN SMALL LETTER O WITH OGONEK AND DOT BELOW [MUFI] ;006F 0328 0323
LATIN SMALL LETTER O WITH OGONEK AND CURL [MUFI] ;006F 0328 1DCE
LATIN SMALL LETTER O WITH LATIN SMALL LETTER A ABOVE [MUFI] ;006F 0363
LATIN SMALL LETTER O WITH LATIN SMALL LETTER E ABOVE [MUFI] ;006F 0364
LATIN SMALL LETTER O WITH LATIN SMALL LETTER I ABOVE [MUFI] ;006F 0365
LATIN SMALL LETTER O WITH LATIN SMALL LETTER O ABOVE [MUFI] ;006F 0366
LATIN SMALL LETTER O WITH LATIN SMALL LETTER U ABOVE [MUFI] ;006F 0367
LATIN SMALL LETTER O WITH LATIN SMALL LETTER V ABOVE [MUFI] ;006F 036E
LATIN SMALL LETTER O WITH CURL [MUFI] ;006F 1DCE
LATIN SMALL LETTER P WITH MACRON [MUFI] ;0070 0304
LATIN SMALL LETTER P WITH DOUBLE ACUTE [MUFI] ;0070 030B
LATIN SMALL LETTER P WITH DOT BELOW [MUFI] ;0070 0323
LATIN SMALL LETTER Q WITH MACRON[MUFI] ;0071 0304
LATIN SMALL LETTER Q WITH DOT ABOVE [MUFI] ;0071 0307
LATIN SMALL LETTER Q WITH DOT BELOW[MUFI] ;0071 0323
LATIN SMALL LETTER R WITH RING BELOW [MUFI] ;0072 0325
LATIN SMALL LETTER R WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0072 036E
LATIN SMALL LETTER T WITH ACUTE [MUFI] ;0074 0301
LATIN SMALL LETTER T WITH OGONEK [MUFI] ;0074 0328
LATIN SMALL LETTER U WITH MACRON AND ACUTE [MUFI] ;0075 0304 0301
LATIN SMALL LETTER U WITH MACRON AND BREVE [MUFI] ;0075 0304 0306
LATIN SMALL LETTER U WITH DOT ABOVE [MUFI] ;0075 0307
LATIN SMALL LETTER U WITH DOT ABOVE AND ACUTE [MUFI] ;0075 0307 0301
LATIN SMALL LETTER U WITH INVERTED BREVE BELOW [MUFI] ;0075 032F
LATIN SMALL LETTER U WITH LATIN SMALL LETTER A ABOVE [MUFI] ;0075 0363
LATIN SMALL LETTER U WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0075 0364
LATIN SMALL LETTER U WITH LATIN SMALL LETTER I ABOVE [MUFI] ;0075 0365
LATIN SMALL LETTER U WITH LATIN SMALL LETTER O ABOVE [MUFI] ;0075 0366
LATIN SMALL LETTER U WITH LATIN SMALL LETTER V ABOVE [MUFI] ;0075 036E
LATIN SMALL LETTER U WITH CURL [MUFI] ;0075 1DCE
LATIN SMALL LETTER U WITH LATIN SMALL LETTER W ABOVE [MUFI] ;0075 F03C
LATIN SMALL LETTER V WITH ACUTE [MUFI] ;0076 0301
LATIN SMALL LETTER V WITH CIRCUMFLEX [MUFI] ;0076 0302
LATIN SMALL LETTER V WITH MACRON [MUFI] ;0076 0304
LATIN SMALL LETTER V WITH DOT ABOVE [MUFI] ;0076 0307
LATIN SMALL LETTER V WITH DIAERESIS [MUFI] ;0076 0308
LATIN SMALL LETTER V WITH RING ABOVE [MUFI] ;0076 030A
LATIN SMALL LETTER V WITH DOUBLE ACUTE [MUFI] ;0076 030B
LATIN SMALL LETTER V WITH VERTICAL LINE ABOVE [MUFI] ;0076 030D
LATIN SMALL LETTER W WITH MACRON [MUFI] ;0077 0304
LATIN SMALL LETTER W WITH DOUBLE ACUTE [MUFI] ;0077 030B
LATIN SMALL LETTER W WITH LATIN SMALL LETTER A ABOVE [MUFI] ;0077 0363
LATIN SMALL LETTER W WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0077 0364
LATIN SMALL LETTER W WITH LATIN SMALL LETTER I ABOVE [MUFI] ;0077 0365
LATIN SMALL LETTER W WITH LATIN SMALL LETTER O ABOVE [MUFI] ;0077 0366
LATIN SMALL LETTER W WITH LATIN SMALL LETTER U ABOVE [MUFI] ;0077 0367
LATIN SMALL LETTER W WITH LATIN SMALL LETTER V ABOVE [MUFI] ;0077 036E
LATIN SMALL LETTER Y WITH MACRON AND ACUTE [MUFI] ;0079 0304 0301
LATIN SMALL LETTER Y WITH MACRON AND BREVE [MUFI] ;0079 0304 0306
LATIN SMALL LETTER Y WITH BREVE [MUFI] ;0079 0306
LATIN SMALL LETTER Y WITH DOUBLE ACUTE [MUFI] ;0079 030B
LATIN SMALL LETTER Y WITH LATIN SMALL LETTER E ABOVE [MUFI] ;0079 0364
LATIN SMALL LETTER Y WITH CURL [MUFI] ;0079 1DCE
LATIN CAPITAL LETTER AE WITH MACRON AND ACUTE [MUFI] ;00C6 0304 0301
LATIN CAPITAL LETTER AE WITH MACRON AND BREVE [MUFI] ;00C6 0304 0306
LATIN CAPITAL LETTER AE WITH BREVE [MUFI] ;00C6 0306
LATIN CAPITAL LETTER AE WITH DOT ABOVE [MUFI] ;00C6 0307
LATIN CAPITAL LETTER AE WITH DOT ABOVE AND ACUTE [MUFI] ;00C6 0307 0301
LATIN CAPITAL LETTER AE WITH DIAERESIS [MUFI] ;00C6 0308
LATIN CAPITAL LETTER AE WITH DOUBLE ACUTE [MUFI] ;00C6 030B
LATIN CAPITAL LETTER AE WITH DOT BELOW [MUFI] ;00C6 0323
LATIN CAPITAL LETTER AE WITH OGONEK [MUFI] ;00C6 0328
LATIN CAPITAL LETTER AE WITH CURL [MUFI] ;00C6 1DCE
LATIN CAPITAL LETTER ETH WITH DOT BELOW [MUFI] ;00D0 0323
LATIN CAPITAL LETTER O WITH STROKE AND MACRON [MUFI] ;00D8 0304
LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND ACUTE [MUFI] ;00D8 0304 0301
LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND BREVE [MUFI] ;00D8 0304 0306
LATIN CAPITAL LETTER O WITH STROKE AND BREVE [MUFI] ;00D8 0306
LATIN CAPITAL LETTER O WITH STROKE AND DOT ABOVE [MUFI] ;00D8 0307
LATIN CAPITAL LETTER O WITH STROKE AND DOT ABOVE AND ACUTE [MUFI] ;00D8 0307 0301
LATIN CAPITAL LETTER O WITH STROKE AND DOUBLE ACUTE [MUFI] ;00D8 030B
LATIN CAPITAL LETTER O WITH STROKE AND DOT BELOW [MUFI] ;00D8 0323
LATIN CAPITAL LETTER O WITH STROKE AND OGONEK [MUFI] ;00D8 0328
LATIN CAPITAL LETTER O WITH STROKE AND OGONEK AND ACUTE [MUFI] ;00D8 0328 0301
LATIN CAPITAL LETTER O WITH STROKE AND CURL [MUFI] ;00D8 1DCE
LATIN CAPITAL LETTER THORN WITH DOT BELOW [MUFI] ;00DE 0323
LATIN SMALL LETTER AE WITH MACRON AND ACUTE [MUFI] ;00E6 0304 0301
LATIN SMALL LETTER AE WITH MACRON AND BREVE [MUFI] ;00E6 0304 0306
LATIN SMALL LETTER AE WITH BREVE [MUFI] ;00E6 0306
LATIN SMALL LETTER AE WITH DOT ABOVE [MUFI] ;00E6 0307
LATIN SMALL LETTER AE WITH DOT ABOVE AND ACUTE [MUFI] ;00E6 0307 0301
LATIN SMALL LETTER AE WITH DIAERESIS [MUFI] ;00E6 0308
LATIN SMALL LETTER AE WITH RING ABOVE [MUFI] ;00E6 030A
LATIN SMALL LETTER AE WITH DOUBLE ACUTE [MUFI] ;00E6 030B
LATIN SMALL LETTER AE WITH DOT BELOW [MUFI] ;00E6 0323
LATIN SMALL LETTER AE WITH OGONEK [MUFI] ;00E6 0328
LATIN SMALL LETTER AE WITH OGONEK AND ACUTE [MUFI] ;00E6 0328 0301
LATIN SMALL LETTER AE WITH CURL [MUFI] ;00E6 1DCE
LATIN SMALL LETTER ETH WITH DOT BELOW [MUFI] ;00F0 0323
LATIN SMALL LETTER O WITH STROKE AND MACRON [MUFI] ;00F8 0304
LATIN SMALL LETTER O WITH STROKE AND MACRON AND ACUTE [MUFI] ;00F8 0304 0301
LATIN SMALL LETTER O WITH STROKE AND MACRON AND BREVE [MUFI] ;00F8 0304 0306
LATIN SMALL LETTER O WITH STROKE AND BREVE [MUFI] ;00F8 0306
LATIN SMALL LETTER O WITH STROKE AND DOT ABOVE [MUFI] ;00F8 0307
LATIN SMALL LETTER O WITH STROKE AND DOT ABOVE AND ACUTE [MUFI] ;00F8 0307 0301
LATIN SMALL LETTER O WITH STROKE AND DOUBLE ACUTE [MUFI] ;00F8 030B
LATIN SMALL LETTER O WITH STROKE AND DOT BELOW [MUFI] ;00F8 0323
LATIN SMALL LETTER O WITH STROKE AND OGONEK [MUFI] ;00F8 0328
LATIN SMALL LETTER O WITH STROKE AND OGONEK AND ACUTE [MUFI] ;00F8 0328 0301
LATIN SMALL LETTER O WITH STROKE AND CURL [MUFI] ;00F8 1DCE
LATIN SMALL LETTER THORN WITH ACUTE [MUFI] ;00FE 0301
LATIN SMALL LETTER THORN WITH DOT BELOW [MUFI] ;00FE 0323
LATIN CAPITAL LETTER E WITH OGONEK AND MACRON [MUFI] ;0118 0304
LATIN SMALL LETTER E WITH OGONEK AND MACRON [MUFI] ;0119 0304
LATIN SMALL LETTER DOTLESS I WITH OGONEK [MUFI] ;0131 0328
LATIN CAPITAL LIGATURE OE WITH ACUTE [MUFI] ;0152 0301
LATIN CAPITAL LIGATURE OE WITH MACRON [MUFI] ;0152 0304
LATIN CAPITAL LIGATURE OE WITH MACRON AND BREVE [MUFI] ;0152 0304 0306
LATIN CAPITAL LIGATURE OE WITH DOUBLE ACUTE [MUFI] ;0152 030B
LATIN CAPITAL LIGATURE OE WITH OGONEK [MUFI] ;0152 0328
LATIN SMALL LIGATURE OE WITH ACUTE [MUFI] ;0153 0301
LATIN SMALL LIGATURE OE WITH MACRON [MUFI] ;0153 0304
LATIN SMALL LIGATURE OE WITH MACRON AND BREVE [MUFI] ;0153 0304 0306
