# Unicode control characters
CHARACTER TABULATION; 0009
PUNCTUS INTERROGATIVUS HORIZONTAL TILDE [MUFI] ;F1E8
PUNCTUS INTERROGATIVUS LEMNISKATE FORM [MUFI] ;F1F1
WAVY LINE [MUFI] ;F1F9
MEDIEVAL COMMA [MUFI] ;F1E0
PARAGRAPHUS [MUFI] ;F1E1
SIGNE DE RENVOI [MUFI] ;F1EC
VIRGULA SUSPENSIVA [MUFI] ;F1F4
SHORT VIRGULA [MUFI] ;F1F7
TRIPLE DAGGER [MUFI] ;F1D2
METRICAL SYMBOL ANCEPS WITH ACUTE (PRIMARY STRESS) [MUFI] ;F70B
METRICAL SYMBOL ANCEPS WITH DOUBLE ACUTE (PRIMARY STRESS AND ALLITERATION) [MUFI] ;F719
METRICAL SYMBOL ANCEPS WITH GRAVE (SECONDARY STRESS) [MUFI] ;F70C
METRICAL SYMBOL ANCEPS WITH DOUBLE GRAVE (SECONDARY STRESS AND ALLITERATION) [MUFI] ;F71A
METRICAL SYMBOL BREVE WITH ACUTE (PRIMARY STRESS) [MUFI] ;F706
METRICAL SYMBOL BREVE WITH DOUBLE ACUTE (PRIMARY STRESS AND ALLITERATION) [MUFI] ;F717
METRICAL SYMBOL BREVE WITH GRAVE (SECONDARY STRESS) [MUFI] ;F707
METRICAL SYMBOL BREVE WITH DOUBLE GRAVE (SECONDARY STRESS AND ALLITERATION) [MUFI] ;F718
METRICAL SYMBOL LONGUM WITH ACUTE (PRIMARY STRESS) [MUFI] ;F704
METRICAL SYMBOL LONGUM WITH DOUBLE ACUTE (SECONDARY STRESS) [MUFI] ;F715
METRICAL SYMBOL LONGUM WITH GRAVE (SECONDARY STRESS) [MUFI] ;F705
METRICAL SYMBOL LONGUM WITH DOUBLE GRAVE (SECONDARY STRESS AND ALLITERATION) [MUFI] ;F716
METRICAL SYMBOL BREVE ABOVE LONGUM WITH ACUTE (SHORT OR LONG SYLLABLE WITH PRIMARY STRESS) [MUFI] ;F708
METRICAL SYMBOL BREVE ABOVE LONGUM WITH GRAVE (SHORT OR LONG SYLLABLE WITH SECONDARY STRESS) [MUFI] ;F709
METRICAL SYMBOL RESOLVED LIFT WITH ACUTE (PRIMARY STRESS) [MUFI] ;F71B
METRICAL SYMBOL RESOLVED LIFT WITH DOUBLE ACUTE (PRIMARY STRESS AND ALLITERATION) [MUFI] ;F71C
SMALL BASE LINE ZERO SIGN [MUFI] ;F1BD
MODIFIER CAPITAL LETTER X [MUFI] ;F1BF
ROMAN NUMERAL CAPITAL C WITH TWO BARS [MUFI] ;F2FE
ROMAN NUMERAL SMALL C WITH TWO BARS [MUFI] ;F2FF
LATIN SMALL LIGATURE AF [MUFI] ; EFA3
LATIN SMALL LIGATURE A INSULAR F [MUFI] ; EFA4
LATIN SMALL LIGATURE AG [MUFI] ; EFA5
LATIN SMALL LIGATURE AL [MUFI] ; EFA6
LATIN SMALL LIGATURE AN [MUFI] ; EFA7
LATIN SMALL LIGATURE A SMALL CAPITAL N [MUFI] ; EFA8
ROMAN AS LIBRALIS SIGN [MUFI] ;F2E0
LATIN SMALL CAPITAL LETTER X WITH BAR (DENARIUS SIGN) [MUFI] ;F2E2
LATIN SMALL CAPITAL LETTER Y WITH BAR [MUFI] ;F2E3
LATIN SMALL CAPITAL LETTER D WITH SLASH [MUFI] ;F2E4
PHARMACEUTICAL DRAM SIGN [MUFI] ;F2E6
ECU SIGN [MUFI] ;F2E7
FLOREN SIGN WITH LOOP [MUFI] ;F2E8
GROSCHEN SIGN [MUFI] ;F2E9
HELBING SIGN [MUFI] ;F2FB
KRONE SIGN [MUFI] ;F2FA
DUTCH LIBRA SIGN [MUFI] ;F2EA
FRENCH LIBRA SIGN [MUFI] ;F2EB
ITALIAN LIBRA SIGN [MUFI] ;F2EC
FLEMISH LIBRA SIGN [MUFI] ;F2ED
LIRA NUOVA SIGN [MUFI] ;F2EE
LIRA STERLINA SIGN [MUFI] ;F2EF
OLD MARK SIGN [MUFI] ;F2F0
OLD FLOURISH MARK SIGN [MUFI] ;F2F1
MARKED SMALL LETTER M SIGN [MUFI] ;F2F2
FLOURISHED SMALL LETTER M SIGN [MUFI] ;F2F3
PHARMACEUTICAL OBOLUS SIGN [MUFI] ;F2F4
PENNING SIGN [MUFI] ;F2F5
OLD REICHSTALER SIGN [MUFI] ;F2F6
GERMAN SCHILLING SIGN [MUFI] ;F2F7
GERMAN SCRIPT SCHILLING SIGN [MUFI] ;F2F8
SCUDI SIGN [MUFI] ;F2F9
SCRIPT OUNCE SIGN [MUFI] ;F2FD
COMBINING HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH) [MUFI] ;F00A
COMBINING MEDIUM-HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH) [MUFI] ;F00B
COMBINING HIGH OVERLINE WITH FIXED HEIGHT (FULL-WIDTH) [MUFI] ;F00C
COMBINING MEDIUM-HIGH OVERLINE WITH FIXED HEIGHT (FULL-WIDTH) [MUFI] ;F00D
LATIN SMALL LETTER B WITH MEDIUM-HIGH OVERLINE (ACROSS ASCENDER) [MUFI] ; E44D
LATIN SMALL LETTER D WITH MEDIUM-HIGH OVERLINE (ACROSS ASCENDER) [MUFI] ; E491
LATIN SMALL LETTER H WITH MEDIUM-HIGH OVERLINE (ACROSS ASCENDER) [MUFI] ; E517
LATIN SMALL LETTER K WITH MEDIUM-HIGH OVERLINE (ACROSS ASCENDER) [MUFI] ; E7C3
LATIN SMALL LETTER L WITH MEDIUM-HIGH OVERLINE (ACROSS ASCENDER) [MUFI] ; E5B1
LATIN SMALL LETTER OPEN O WITH MACRON [MUFI] ; E7CC
LATIN SMALL LETTER LONG S WITH MEDIUM-HIGH OVERLINE (ACROSS ASCENDER) [MUFI] ; E79E
LATIN SMALL LETTER THORN WITH MEDIUM-HIGH OVERLINE (ACROSS ASCENDER) [MUFI] ; E7A2
LATIN SMALL LIGATURE AP [MUFI] ; EFA9
LATIN SMALL LIGATURE AR [MUFI] ; EFAA
LATIN SMALL LIGATURE A SMALL CAPITAL R [MUFI] ; EFAB
LATIN SMALL LIGATURE A THORN [MUFI] ; EFAC
LATIN SMALL LIGATURE BB [MUFI] ; EEC2
LATIN SMALL LIGATURE BG [MUFI] ; EEC3
LATIN SMALL LIGATURE CH [MUFI] ;F1BB
LATIN SMALL LIGATURE CK [MUFI] ; EEC4
LATIN SMALL LIGATURE CT [MUFI] ; EEC5
LATIN SMALL LIGATURE D ROTUNDA D ROTUNDA [MUFI] ; EEC6
LATIN SMALL LIGATURE EY [MUFI] ; EEC7
LATIN SMALL LIGATURE F A WITH DIAERESIS [MUFI] ; EEC8
LATIN SMALL LIGATURE FJ [MUFI] ; EEC9
LATIN SMALL LIGATURE F O WITH DIAERESIS [MUFI] ;F1BC
LATIN SMALL LIGATURE FR [MUFI] ; EECA
LATIN SMALL LIGATURE FT [MUFI] ; EECB
LATIN SMALL LIGATURE F U WITH DIAERESIS [MUFI] ; EECC
LATIN SMALL LIGATURE FY [MUFI] ; EECD
LATIN SMALL LIGATURE FFT [MUFI] ; EECE
LATIN SMALL LIGATURE FFY [MUFI] ; EECF
LATIN SMALL LIGATURE FTY [MUFI] ; EED0
LATIN SMALL LIGATURE GG [MUFI] ; EED1
LATIN SMALL LIGATURE GD [MUFI] ; EED2
LATIN SMALL LIGATURE G D ROTUNDA [MUFI] ; EED3
LATIN SMALL LIGATURE G ETH [MUFI] ; EED4
LATIN SMALL LIGATURE GO [MUFI] ; EEDE
LATIN SMALL LIGATURE GP [MUFI] ; EAD2
LATIN SMALL LIGATURE GR [MUFI] ; EAD0
LATIN SMALL LETTER A WITH DIAGONAL DIAERESIS [MUFI] ; E8D5
LATIN SMALL LETTER O WITH DIAGONAL DIAERESIS [MUFI] ; E8D7
LATIN SMALL LIGATURE Q INSULAR V [MUFI] ; EAD1
LATIN SMALL LETTER H LIGATED WITH ARM OF LATIN SMALL LETTER R [MUFI] ; E8C3
LATIN CAPITAL LETTER H LIGATED WITH ARM OF LATIN SMALL LETTER R [MUFI] ; E8C2
